img_config,block_id,x,y
1,A,10,20
1,B,20,20
1,C,30,20
1,D,40,20
1,E,50,20
1,F,60,20
1,G,70,20
1,H,80,20
1,I,90,20
1,J,100,20
1,K,110,20
1,L,120,20
1,M,130,20
1,N,140,20
1,O,150,20
2,A,10,30
2,B,20,30
2,C,30,30
2,D,40,30
2,E,50,30
2,F,60,30
2,G,70,30
2,H,80,30
2,I,90,30
2,J,100,30
2,K,110,30
2,L,120,30
2,M,130,30
2,N,140,30
2,O,150,30
3,A,10,40
3,B,20,40
3,C,30,40
3,D,40,40
3,E,50,40
3,F,60,40
3,G,70,40
3,H,80,40
3,I,90,40
3,J,100,40
3,K,110,40
3,L,120,40
3,M,130,40
3,N,140,40
3,O,150,40
4,A,10,50
4,B,20,50
4,C,30,50
4,D,40,50
4,E,50,50
4,F,60,50
4,G,70,50
4,H,80,50
4,I,90,50
4,J,100,50
4,K,110,50
4,L,120,50
4,M,130,50
4,N,140,50
4,O,150,50
5,A,10,60
5,B,20,60
5,C,30,60
5,D,40,60
5,E,50,60
5,F,60,60
5,G,70,60
5,H,80,60
5,I,90,60
5,J,100,60
5,K,110,60
5,L,120,60
5,M,130,60
5,N,140,60
5,O,150,60
6,A,10,70
6,B,20,70
6,C,30,70
6,D,40,70
6,E,50,70
6,F,60,70
6,G,70,70
6,H,80,70
6,I,90,70
6,J,100,70
6,K,110,70
6,L,120,70
6,M,130,70
6,N,140,70
6,O,150,70
7,A,10,80
7,B,20,80
7,C,30,80
7,D,40,80
7,E,50,80
7,F,60,80
7,G,70,80
7,H,80,80
7,I,90,80
7,J,100,80
7,K,110,80
7,L,120,80
7,M,130,80
7,N,140,80
7,O,150,80
8,A,10,90
8,B,20,90
8,C,30,90
8,D,40,90
8,E,50,90
8,F,60,90
8,G,70,90
8,H,80,90
8,I,90,90
8,J,100,90
8,K,110,90
8,L,120,90
8,M,130,90
8,N,140,90
8,O,150,90
9,A,10,100
9,B,20,100
9,C,30,100
9,D,40,100
9,E,50,100
9,F,60,100
9,G,70,100
9,H,80,100
9,I,90,100
9,J,100,100
9,K,110,100
9,L,120,100
9,M,130,100
9,N,140,100
9,O,150,100
10,A,10,110
10,B,20,110
10,C,30,110
10,D,40,110
10,E,50,110
10,F,60,110
10,G,70,110
10,H,80,110
10,I,90,110
10,J,100,110
10,K,110,110
10,L,120,110
10,M,130,110
10,N,140,110
10,O,150,110
11,A,10,120
11,B,20,120
11,C,30,120
11,D,40,120
11,E,50,120
11,F,60,120
11,G,70,120
11,H,80,120
11,I,90,120
11,J,100,120
11,K,110,120
11,L,120,120
11,M,130,120
11,N,140,120
11,O,150,120
12,A,10,130
12,B,20,130
12,C,30,130
12,D,40,130
12,E,50,130
12,F,60,130
12,G,70,130
12,H,80,130
12,I,90,130
12,J,100,130
12,K,110,130
12,L,120,130
12,M,130,130
12,N,140,130
12,O,150,130
13,A,10,140
13,B,20,140
13,C,30,140
13,D,40,140
13,E,50,140
13,F,60,140
13,G,70,140
13,H,80,140
13,I,90,140
13,J,100,140
13,K,110,140
13,L,120,140
13,M,130,140
13,N,140,140
13,O,150,140
14,A,10,150
14,B,20,150
14,C,30,150
14,D,40,150
14,E,50,150
14,F,60,150
14,G,70,150
14,H,80,150
14,I,90,150
14,J,100,150
14,K,110,150
14,L,120,150
14,M,130,150
14,N,140,150
14,O,150,150
