image$caption
synthetic_image_1.png$[{'name': 'green', 'keypoint': {'x': 298, 'y': 428}}, {'name': 'green', 'keypoint': {'x': 117, 'y': 413}}, {'name': 'orange', 'keypoint': {'x': 426, 'y': 619}}, {'name': 'blue', 'keypoint': {'x': 87, 'y': 367}}, {'name': 'green', 'keypoint': {'x': 240, 'y': 366}}, {'name': 'blue', 'keypoint': {'x': 430, 'y': 476}}, {'name': 'green', 'keypoint': {'x': 157, 'y': 374}}, {'name': 'blue', 'keypoint': {'x': 25, 'y': 457}}, {'name': 'green', 'keypoint': {'x': 424, 'y': 371}}, {'name': 'green', 'keypoint': {'x': 401, 'y': 475}}]
synthetic_image_2.png$[{'name': 'orange', 'keypoint': {'x': 243, 'y': 598}}, {'name': 'blue', 'keypoint': {'x': 333, 'y': 419}}, {'name': 'blue', 'keypoint': {'x': 307, 'y': 412}}, {'name': 'green', 'keypoint': {'x': 48, 'y': 515}}, {'name': 'green', 'keypoint': {'x': 99, 'y': 383}}, {'name': 'blue', 'keypoint': {'x': 247, 'y': 540}}, {'name': 'green', 'keypoint': {'x': 34, 'y': 506}}, {'name': 'orange', 'keypoint': {'x': 685, 'y': 422}}, {'name': 'orange', 'keypoint': {'x': 645, 'y': 558}}, {'name': 'blue', 'keypoint': {'x': 530, 'y': 547}}]
synthetic_image_3.png$[{'name': 'yellow', 'keypoint': {'x': 420, 'y': 580}}, {'name': 'blue', 'keypoint': {'x': 203, 'y': 474}}, {'name': 'blue', 'keypoint': {'x': 627, 'y': 526}}, {'name': 'orange', 'keypoint': {'x': 619, 'y': 536}}, {'name': 'orange', 'keypoint': {'x': 293, 'y': 429}}, {'name': 'green', 'keypoint': {'x': 98, 'y': 437}}, {'name': 'orange', 'keypoint': {'x': 89, 'y': 362}}, {'name': 'orange', 'keypoint': {'x': 25, 'y': 619}}, {'name': 'blue', 'keypoint': {'x': 235, 'y': 386}}, {'name': 'yellow', 'keypoint': {'x': 203, 'y': 597}}]
synthetic_image_4.png$[{'name': 'green', 'keypoint': {'x': 699, 'y': 495}}, {'name': 'yellow', 'keypoint': {'x': 426, 'y': 400}}, {'name': 'blue', 'keypoint': {'x': 204, 'y': 429}}, {'name': 'blue', 'keypoint': {'x': 533, 'y': 571}}, {'name': 'green', 'keypoint': {'x': 558, 'y': 380}}, {'name': 'green', 'keypoint': {'x': 371, 'y': 561}}, {'name': 'yellow', 'keypoint': {'x': 308, 'y': 578}}, {'name': 'orange', 'keypoint': {'x': 697, 'y': 601}}, {'name': 'orange', 'keypoint': {'x': 259, 'y': 586}}, {'name': 'orange', 'keypoint': {'x': 275, 'y': 528}}]
synthetic_image_5.png$[{'name': 'blue', 'keypoint': {'x': 22, 'y': 446}}, {'name': 'yellow', 'keypoint': {'x': 507, 'y': 532}}, {'name': 'yellow', 'keypoint': {'x': 600, 'y': 542}}, {'name': 'yellow', 'keypoint': {'x': 250, 'y': 453}}, {'name': 'blue', 'keypoint': {'x': 623, 'y': 513}}, {'name': 'orange', 'keypoint': {'x': 211, 'y': 363}}, {'name': 'orange', 'keypoint': {'x': 83, 'y': 595}}, {'name': 'yellow', 'keypoint': {'x': 254, 'y': 490}}, {'name': 'green', 'keypoint': {'x': 449, 'y': 523}}, {'name': 'yellow', 'keypoint': {'x': 262, 'y': 530}}]
synthetic_image_6.png$[{'name': 'blue', 'keypoint': {'x': 682, 'y': 431}}, {'name': 'blue', 'keypoint': {'x': 291, 'y': 367}}, {'name': 'green', 'keypoint': {'x': 67, 'y': 629}}, {'name': 'blue', 'keypoint': {'x': 107, 'y': 622}}, {'name': 'green', 'keypoint': {'x': 63, 'y': 408}}, {'name': 'blue', 'keypoint': {'x': 671, 'y': 417}}, {'name': 'yellow', 'keypoint': {'x': 43, 'y': 413}}, {'name': 'orange', 'keypoint': {'x': 491, 'y': 407}}, {'name': 'green', 'keypoint': {'x': 661, 'y': 455}}, {'name': 'green', 'keypoint': {'x': 217, 'y': 500}}]
synthetic_image_7.png$[{'name': 'green', 'keypoint': {'x': 448, 'y': 489}}, {'name': 'green', 'keypoint': {'x': 443, 'y': 466}}, {'name': 'yellow', 'keypoint': {'x': 341, 'y': 439}}, {'name': 'green', 'keypoint': {'x': 94, 'y': 458}}, {'name': 'yellow', 'keypoint': {'x': 707, 'y': 379}}, {'name': 'blue', 'keypoint': {'x': 627, 'y': 486}}, {'name': 'yellow', 'keypoint': {'x': 75, 'y': 463}}, {'name': 'green', 'keypoint': {'x': 373, 'y': 601}}, {'name': 'orange', 'keypoint': {'x': 12, 'y': 599}}, {'name': 'blue', 'keypoint': {'x': 242, 'y': 571}}]
synthetic_image_8.png$[{'name': 'yellow', 'keypoint': {'x': 306, 'y': 421}}, {'name': 'yellow', 'keypoint': {'x': 326, 'y': 523}}, {'name': 'blue', 'keypoint': {'x': 326, 'y': 481}}, {'name': 'blue', 'keypoint': {'x': 18, 'y': 482}}, {'name': 'orange', 'keypoint': {'x': 207, 'y': 500}}, {'name': 'green', 'keypoint': {'x': 522, 'y': 507}}, {'name': 'green', 'keypoint': {'x': 720, 'y': 503}}, {'name': 'orange', 'keypoint': {'x': 210, 'y': 611}}, {'name': 'orange', 'keypoint': {'x': 401, 'y': 417}}, {'name': 'yellow', 'keypoint': {'x': 362, 'y': 626}}]
synthetic_image_9.png$[{'name': 'orange', 'keypoint': {'x': 478, 'y': 407}}, {'name': 'yellow', 'keypoint': {'x': 695, 'y': 512}}, {'name': 'orange', 'keypoint': {'x': 279, 'y': 445}}, {'name': 'orange', 'keypoint': {'x': 462, 'y': 507}}, {'name': 'blue', 'keypoint': {'x': 324, 'y': 565}}, {'name': 'blue', 'keypoint': {'x': 713, 'y': 518}}, {'name': 'green', 'keypoint': {'x': 516, 'y': 427}}, {'name': 'yellow', 'keypoint': {'x': 494, 'y': 481}}, {'name': 'green', 'keypoint': {'x': 160, 'y': 545}}, {'name': 'blue', 'keypoint': {'x': 341, 'y': 419}}]
synthetic_image_10.png$[{'name': 'green', 'keypoint': {'x': 522, 'y': 384}}, {'name': 'orange', 'keypoint': {'x': 231, 'y': 431}}, {'name': 'orange', 'keypoint': {'x': 595, 'y': 546}}, {'name': 'orange', 'keypoint': {'x': 251, 'y': 369}}, {'name': 'green', 'keypoint': {'x': 164, 'y': 405}}, {'name': 'yellow', 'keypoint': {'x': 216, 'y': 492}}, {'name': 'yellow', 'keypoint': {'x': 289, 'y': 456}}, {'name': 'orange', 'keypoint': {'x': 7, 'y': 531}}, {'name': 'blue', 'keypoint': {'x': 233, 'y': 549}}, {'name': 'blue', 'keypoint': {'x': 150, 'y': 365}}]
synthetic_image_11.png$[{'name': 'green', 'keypoint': {'x': 75, 'y': 498}}, {'name': 'blue', 'keypoint': {'x': 94, 'y': 564}}, {'name': 'blue', 'keypoint': {'x': 241, 'y': 414}}, {'name': 'yellow', 'keypoint': {'x': 356, 'y': 461}}, {'name': 'green', 'keypoint': {'x': 225, 'y': 536}}, {'name': 'green', 'keypoint': {'x': 673, 'y': 574}}, {'name': 'blue', 'keypoint': {'x': 158, 'y': 590}}, {'name': 'yellow', 'keypoint': {'x': 682, 'y': 422}}, {'name': 'orange', 'keypoint': {'x': 493, 'y': 551}}, {'name': 'green', 'keypoint': {'x': 418, 'y': 530}}]
